N,종목명,현재가,전일비,등락률,액면가,상장주식수,시가총액,매출액,외국인비율,PER,ROE,토론실
55,KODEX 200,"31,210",425,1.38%,0,"53,790","172,350",5.95,"6,500,042",N/A,N/A,
56,하이브,"129,000","5,500",4.45%,500,"53,346","41,353",15.49,"167,377",22.73,6.83,
57,LG디스플레이,"14,500","1,100",8.21%,"5,000","51,883","357,816",19.47,"4,754,204",24.66,9.68,
58,LG유플러스,"11,800",100,0.85%,"5,000","51,520","436,611",37.98,"600,588",8.05,9.47,
59,HD현대,"64,200",400,0.63%,"1,000","50,714","78,993",17.67,"113,099",5.7,-1.99,
60,강원랜드,"23,700",300,1.28%,500,"50,704","213,940",22.54,"343,169",123.44,-0.33,
61,삼성엔지니어링,"25,800",300,-1.15%,"5,000","50,568","196,000",40.82,"1,968,938",11.87,20.67,
62,SK바이오팜,"62,300",100,0.16%,500,"48,789","78,313",6.42,"65,853",-62.74,15.75,
63,삼성중공업,"5,380",40,0.75%,"1,000","47,344","880,000",15.81,"1,532,709",-7.11,-36.89,
64,한국항공우주,"48,300","1,150",2.44%,"5,000","47,080","97,475",25.23,"743,905",55.52,5.19,
65,GS,"48,200",600,-1.23%,"5,000","44,785","92,915",25.25,"125,498",2.06,15.55,
66,맥쿼리인프라,"10,950",0,0.00%,0,"44,331","404,846",13.26,"312,217",N/A,N/A,
67,현대건설,"39,600",100,0.25%,"5,000","44,097","111,356",23.95,"659,223",7.81,5.89,
68,한온시스템,"8,120",40,-0.49%,100,"43,345","533,800",16.59,"589,891",23.2,13.83,
69,금호석유,"144,500","1,500",-1.03%,"5,000","42,359","29,314",21.42,"112,204",3.08,47.76,
70,SK아이이테크놀로지,"59,100",600,1.03%,"1,000","42,137","71,298",8.03,"800,078",326.52,5.57,
71,유한양행,"57,400",0,0.00%,"1,000","42,035","73,231",20.29,"118,919",43.65,5.45,
72,한국타이어앤테크놀로지,"33,600","1,050",-3.03%,500,"41,622","123,875",35.91,"385,756",6.1,7.69,
73,현대제철,"30,800",150,0.49%,"5,000","41,101","133,446",21.53,"473,053",2.12,8.54,
74,넷마블,"47,800","1,150",2.47%,100,"41,086","85,954",23.3,"211,908",-176.38,4.29,
